frame,x,y,w,h,eye_point1,eye_point2
475,998,315,209,307,"(1025, 436)","(1166, 451)"
480,925,507,218,324,"(949, 635)","(1091, 624)"
485,865,347,88,115,"(872, 398)","(916, 383)"
490,952,344,143,158,"(976, 425)","(1039, 389)"
495,805,299,190,236,"(830, 413)","(935, 380)"
500,-51,612,196,232,"(0, 733)","(102, 693)"
505,1529,721,196,228,"(1566, 847)","(1664, 788)"
510,609,256,315,381,"(666, 409)","(873, 404)"
515,603,274,309,384,"(653, 422)","(861, 423)"
520,824,313,307,390,"(873, 464)","(1072, 458)"
525,704,322,315,396,"(757, 486)","(957, 480)"
530,728,310,311,394,"(777, 468)","(977, 465)"
535,819,242,308,393,"(861, 403)","(1057, 407)"
540,1019,192,122,145,"(1062, 257)","(1109, 247)"
545,1007,215,125,158,"(1032, 273)","(1112, 276)"
550,992,223,125,155,"(1017, 280)","(1097, 282)"
555,945,245,125,145,"(966, 299)","(1047, 296)"
560,903,266,122,151,"(923, 321)","(1000, 317)"
565,897,282,124,157,"(918, 340)","(999, 339)"
570,869,286,123,161,"(892, 341)","(976, 343)"
575,851,303,124,143,"(874, 352)","(957, 353)"
580,861,304,124,144,"(884, 349)","(967, 352)"
585,883,318,122,134,"(909, 364)","(991, 366)"
590,890,316,124,155,"(917, 365)","(997, 366)"
595,843,298,131,155,"(870, 356)","(956, 352)"
600,798,296,149,155,"(830, 392)","(895, 326)"
605,911,215,154,190,"(942, 270)","(1041, 292)"
610,985,255,199,205,"(1062, 300)","(1148, 374)"
615,926,367,200,232,"(967, 451)","(1095, 449)"
620,540,346,201,243,"(575, 471)","(688, 420)"
625,512,319,217,273,"(541, 455)","(672, 406)"
630,932,108,311,373,"(999, 239)","(1200, 230)"
635,917,241,321,375,"(976, 399)","(1182, 365)"
640,833,443,320,403,"(898, 632)","(1090, 593)"
645,817,426,326,423,"(875, 621)","(1069, 572)"
650,601,383,326,428,"(650, 578)","(851, 538)"
655,947,313,241,303,"(973, 447)","(1123, 416)"
660,877,238,240,316,"(907, 378)","(1052, 339)"
665,767,237,231,323,"(799, 371)","(947, 346)"
670,695,250,225,322,"(725, 383)","(869, 362)"
675,693,270,223,300,"(724, 395)","(866, 381)"
680,729,239,213,280,"(758, 348)","(900, 354)"
685,753,228,194,250,"(779, 314)","(902, 329)"
690,779,201,163,230,"(804, 289)","(906, 297)"
695,862,206,122,163,"(882, 271)","(963, 271)"
700,917,249,88,116,"(930, 292)","(991, 290)"
705,865,294,154,218,"(893, 388)","(996, 378)"
710,816,291,169,222,"(840, 394)","(944, 361)"
715,750,288,172,229,"(774, 386)","(878, 360)"
720,709,289,168,239,"(732, 385)","(837, 373)"
725,709,288,169,249,"(735, 383)","(847, 384)"
730,760,279,169,240,"(784, 374)","(897, 378)"
735,1303,439,193,209,"(1376, 490)","(1463, 561)"
740,1305,408,187,221,"(1357, 480)","(1465, 513)"
745,781,216,198,238,"(800, 335)","(893, 295)"
750,127,385,187,218,"(168, 477)","(285, 466)"
755,1424,395,198,238,"(1459, 498)","(1579, 477)"
760,1444,412,197,246,"(1483, 501)","(1608, 517)"
765,1527,419,201,259,"(1564, 516)","(1694, 522)"
770,1693,390,208,255,"(1738, 485)","(1870, 497)"
775,595,256,246,289,"(639, 418)","(763, 343)"
780,748,255,249,313,"(791, 417)","(926, 348)"
785,928,151,187,237,"(967, 225)","(1087, 238)"
790,897,154,193,253,"(943, 232)","(1062, 254)"
795,924,184,191,249,"(964, 272)","(1091, 285)"
800,940,226,198,257,"(981, 322)","(1109, 329)"
805,922,233,200,266,"(959, 360)","(1081, 319)"
810,911,273,224,278,"(956, 418)","(1084, 353)"
815,900,232,257,344,"(947, 385)","(1116, 355)"
820,888,267,262,380,"(933, 420)","(1106, 408)"
825,869,293,260,347,"(909, 424)","(1082, 417)"
830,995,327,112,151,"(1012, 381)","(1083, 378)"
835,962,284,112,148,"(976, 347)","(1047, 338)"
840,909,278,110,146,"(925, 331)","(996, 330)"
845,874,185,111,150,"(893, 237)","(968, 244)"
850,885,209,116,136,"(914, 246)","(986, 270)"
855,918,265,120,150,"(944, 309)","(1023, 328)"
860,956,169,144,186,"(989, 229)","(1082, 250)"
865,1300,479,209,270,"(1332, 583)","(1472, 585)"
870,1248,550,197,275,"(1293, 659)","(1411, 662)"
875,1225,659,206,284,"(1256, 778)","(1393, 760)"
880,772,386,227,298,"(811, 498)","(963, 498)"
885,861,176,150,198,"(898, 238)","(993, 257)"
890,845,196,151,194,"(876, 271)","(975, 271)"
895,859,272,155,206,"(885, 365)","(986, 342)"
900,-45,435,213,218,"(15, 564)","(92, 500)"
905,878,297,172,206,"(918, 350)","(1025, 397)"
910,846,296,228,293,"(906, 368)","(1039, 428)"
915,269,339,228,299,"(297, 451)","(443, 461)"
920,586,543,211,261,"(618, 669)","(770, 625)"
925,524,515,209,253,"(549, 632)","(683, 602)"
930,1262,181,94,109,"(1272, 232)","(1324, 208)"
935,964,314,98,118,"(974, 365)","(1037, 352)"
940,1651,-47,199,258,"(1708, 98)","(1771, 86)"
945,845,229,185,254,"(876, 335)","(990, 330)"
950,842,279,186,256,"(878, 375)","(997, 381)"
955,844,270,190,253,"(877, 368)","(1001, 366)"
960,831,276,217,297,"(868, 403)","(1007, 387)"
965,1451,699,236,264,"(1493, 834)","(1613, 773)"
970,802,334,256,313,"(851, 495)","(997, 425)"
975,1455,748,253,271,"(1499, 891)","(1625, 822)"
980,1426,736,244,281,"(1452, 869)","(1581, 816)"
985,921,402,107,139,"(932, 463)","(999, 447)"
990,970,194,216,275,"(994, 318)","(1132, 284)"
995,1616,379,226,285,"(1651, 497)","(1782, 466)"
1000,1628,356,231,275,"(1663, 488)","(1793, 448)"
1005,1573,351,219,279,"(1601, 469)","(1743, 452)"
1010,1388,355,211,267,"(1417, 457)","(1553, 460)"
1015,1372,344,204,271,"(1395, 457)","(1533, 456)"
1020,1380,335,203,271,"(1401, 448)","(1540, 446)"
1025,1352,351,205,277,"(1373, 471)","(1511, 469)"
1030,1357,385,209,275,"(1373, 495)","(1514, 497)"
1035,1316,323,224,304,"(1341, 441)","(1491, 438)"
1040,1195,309,219,287,"(1221, 415)","(1364, 421)"
1045,870,293,292,349,"(919, 491)","(1052, 411)"
1050,940,269,170,198,"(963, 347)","(1068, 343)"
1055,1010,221,171,219,"(1029, 310)","(1136, 301)"
1060,1076,193,181,231,"(1109, 291)","(1221, 287)"
1065,967,209,181,222,"(996, 300)","(1113, 293)"
1070,775,287,185,229,"(806, 378)","(926, 374)"
1075,1303,382,185,222,"(1344, 470)","(1465, 473)"
1080,843,368,198,261,"(885, 467)","(1009, 467)"
1085,1366,401,197,221,"(1412, 483)","(1536, 483)"
1090,807,352,213,263,"(852, 447)","(984, 468)"
1095,750,208,318,310,"(812, 403)","(952, 283)"
1100,701,403,297,287,"(748, 564)","(909, 481)"
1105,669,351,262,308,"(705, 479)","(880, 469)"
1110,673,217,249,307,"(722, 324)","(886, 343)"
1115,722,182,239,301,"(767, 287)","(923, 304)"
1120,801,272,219,285,"(835, 385)","(978, 383)"
1125,1003,333,183,233,"(1025, 437)","(1142, 418)"
1130,696,525,116,132,"(708, 588)","(785, 568)"
1135,929,291,184,234,"(969, 385)","(1084, 384)"
1140,860,316,184,235,"(899, 406)","(1017, 400)"
1145,761,326,193,245,"(796, 420)","(920, 410)"
1150,762,337,205,253,"(798, 431)","(928, 432)"
1155,1143,316,200,225,"(1183, 402)","(1313, 403)"
1160,989,239,250,311,"(1037, 376)","(1193, 362)"
1165,1036,242,247,296,"(1080, 359)","(1239, 349)"
1170,982,265,251,306,"(1030, 390)","(1187, 383)"
1175,931,137,245,299,"(983, 254)","(1135, 251)"
1180,875,119,245,326,"(920, 251)","(1077, 247)"
1185,810,172,243,311,"(854, 302)","(1014, 304)"
1190,726,221,252,294,"(786, 317)","(939, 358)"
1195,-9,426,182,224,"(14, 558)","(94, 504)"
1200,877,370,177,205,"(907, 442)","(1024, 429)"
1205,894,391,176,225,"(925, 483)","(1035, 462)"
1210,932,397,179,211,"(963, 491)","(1068, 461)"
1215,959,393,178,206,"(990, 491)","(1090, 457)"
1220,974,374,178,203,"(1003, 474)","(1101, 438)"
1225,939,354,170,199,"(965, 433)","(1065, 413)"
1230,922,339,152,192,"(943, 415)","(1040, 405)"
1235,932,390,123,146,"(949, 444)","(1025, 437)"
1240,848,260,133,168,"(866, 317)","(947, 321)"
1245,848,271,139,173,"(871, 334)","(959, 339)"
1250,870,276,136,169,"(889, 340)","(979, 340)"
1255,915,291,140,162,"(936, 354)","(1023, 345)"
1260,921,273,147,173,"(940, 343)","(1027, 331)"
1265,911,265,144,169,"(930, 334)","(1021, 325)"
1270,875,272,148,178,"(895, 344)","(986, 343)"
1275,832,283,153,186,"(860, 352)","(957, 363)"
1280,793,245,156,208,"(821, 322)","(926, 336)"
1285,746,210,159,199,"(779, 274)","(881, 294)"
1290,959,465,116,147,"(983, 534)","(1053, 516)"
1295,925,353,136,178,"(946, 437)","(1030, 417)"
1300,935,233,128,182,"(954, 301)","(1042, 304)"
1305,922,252,134,178,"(937, 329)","(1025, 312)"
1310,897,329,176,175,"(961, 371)","(1030, 429)"
1315,924,391,208,208,"(991, 439)","(1089, 495)"
1320,926,308,187,202,"(961, 380)","(1080, 391)"
1325,859,248,194,221,"(882, 344)","(1001, 316)"
1330,710,192,208,235,"(733, 297)","(858, 265)"
